Timestamp,Which tier was played?,"What is the Discord tag of the Winner, with ID (e.g. Ejeffers1239#9016)",What is the Discord tag of the Loser? (Player 2 if tied.),What was the Score? [Winner],What was the Score? [Loser],Submit the .yrp file(s) of the match.,Submit the winner's YDK file,"Submit the loser's YDK file (Obtainable via the ""replay"" tab in EdoPro, if not just asking)",Winner's Deck Archetype(s),Loser's Deck Archetype(s)
9/28/2022 16:34:15,Layer 1 (Vanilla),Atlas/Celeste#8465,idkjustputagoodname#9610,2,0,"https://drive.google.com/open?id=1tyJGguPcZKPVb4Xm3WbwFDz_fu6XGZBW, https://drive.google.com/open?id=1VP-B0Sza_34NlqHmXvv8AZlwtYYaIlBG",https://drive.google.com/open?id=1lzZGR1ISlaSGprUnwS149qPZZ2fEHADM,https://drive.google.com/open?id=1_D6vwhORdDKbI9l4nyqeip3E8JvDxxmQ,Sky Striker Orcust,Zoodiac
9/28/2022 17:17:23,Layer 1 (Vanilla),idkjustputagoodname#9610,Jinxsei#1535,2,1,"https://drive.google.com/open?id=1G6UM02rdmrSWoRp8FmDGhsdwaRxbdF10, https://drive.google.com/open?id=1JHU0YxOWy7wzi0BXJtEiZ1wCd42FkUiY",https://drive.google.com/open?id=1pW8rsmepUSnih2Z9tJ71ka1aJOJc9_Qe,https://drive.google.com/open?id=1J98_DfA6OUXEZsuWWMtl4qZlTjvIkAQC,Zoodiac Runick,True Draco
9/28/2022 17:23:18,Layer 1 (Vanilla),Ejeffers1239#9016,codybeeber1#9402,2,1,"https://drive.google.com/open?id=13JcqchLzr6sNyvDib53wcxqrWaXPb02r, https://drive.google.com/open?id=1cJ7RAwbroFL4k_QK40MAIRpfNQ_RJGYL, https://drive.google.com/open?id=1QbN0xyB9cgRhpNzDc7ecstwwxda1WytW",https://drive.google.com/open?id=14HzLz5MvtAHW0tZut9l9W0c58xvLiS39,https://drive.google.com/open?id=1PJjrBiXpkUeAfAsp_1Y4KlUdwdQuPO3J,Pendulum Magician,Clock Dragon FTK
9/28/2022 17:42:53,Layer 1 (Vanilla),Querrec#8552,Jinxsei#1535,2,1,"https://drive.google.com/open?id=1EZ4_hDhnynvnxkg8O4-Qc2p3lsS7aEeu, https://drive.google.com/open?id=1W6T9HwMCCO_3KDyfevDcIaFHqW5aHR94, https://drive.google.com/open?id=1vimc04NrD3W0SrrnEFbkNWcapUJGNrpa",https://drive.google.com/open?id=1ndEljuu7JcUsTdpGa5l45m7EWPCAIkWD,https://drive.google.com/open?id=1O9OJObK-P5LX6qx4YCyKWd1OPB5U3nBI,Luna Kaiju,Drytron
9/28/2022 22:51:07,Layer 1 (Vanilla),Querrec#8552,Ejeffers1239#9016,2,0,"https://drive.google.com/open?id=1u3aZST-9KYHmH3xVSgrikEFqJO8UUuuN, https://drive.google.com/open?id=1xLYprMdoaK7FB31Fi_ui2li8NUmHyqx0",https://drive.google.com/open?id=181lVSGNBamD8_UjBle__cZ-DLQyjljJQ,https://drive.google.com/open?id=1pHjaOpWGlFw3OoZwvKjdke2j3McBKNMe,Luna Kaiju,Dracoslayer Performapal Magicians
9/28/2022 23:21:22,Layer 1 (Vanilla),codybeeber1#9402,Ejeffers1239#9402,2,1,"https://drive.google.com/open?id=17wOe-RxTupUWU9kg03y6DwGdWbabQKRg, https://drive.google.com/open?id=1zTxvEGHfeALtCAAMe6zz0bIfVtdzdv-f, https://drive.google.com/open?id=1-kjrvXkCRnVHt0LTkCUhdXrifChhrrSz",https://drive.google.com/open?id=12KDZHj64t9cq2wTLF9TX7WzNUsO5S6zb,https://drive.google.com/open?id=15FJEf9-0piljhW1fMycPdqqnlZ-k8mG2,Clock Dragon FTK,Beetrooper
9/28/2022 23:23:35,Layer 1 (Vanilla),Blaster blade#7235,OmegaCrafter17#6098,2,1,"https://drive.google.com/open?id=1YlvJVWmciHkDRloscrUhGcypyWhWipmI, https://drive.google.com/open?id=1kcIObDuM0dp9vukpNHo_TmIzI6xohi-P, https://drive.google.com/open?id=1dB6gvw94yd2gkNiJeZXgU96cxxG15IHI",https://drive.google.com/open?id=104BmIj7t3auOS0FYLob0VXRBTLdJb444,https://drive.google.com/open?id=1cHC2jl4bZB4HWrlAmCP08Wd36Eps9ilu,Dark Magician,True Draco Zoodiac
9/28/2022 23:24:39,Layer 1 (Vanilla),Querrec#8552,yubel#1310,2,0,https://drive.google.com/open?id=1PfJrtWzLNuwxxBa5falXRhloqeliuXNE,https://drive.google.com/open?id=1nzM0nXRXwbHHDTEqru75WtZ7O0viUWox,https://drive.google.com/open?id=1g4vC-zkdmEEDTd0h2XErnrZLxZo1uQ7Y,Agents,Zoodiac
9/28/2022 23:26:54,Layer 1 (Vanilla),Aidan#9145,3manyflies#2628,2,0,"https://drive.google.com/open?id=1k3Ir2mcf_w68QORQh4sb-segYeodPEWb, https://drive.google.com/open?id=13377DvkJTMx0fQ1Ps4HWyjxKArAk7ZRi",https://drive.google.com/open?id=1naNqQT2KgaiTAMK9JUy9olqhR57VUhr6,https://drive.google.com/open?id=15gda6ou4yTmfYg1xR-5I_eIoV8UKCH8I,Danger PK Orcust,Branded Despia Tear
9/29/2022 2:10:32,Layer 1 (Vanilla),Preistest_Dragon#5022,Blaster blade#7235,2,1,"https://drive.google.com/open?id=1A-jtJEq_qW19aG13xm1bf5NKvcT2VLiC, https://drive.google.com/open?id=1Ock6YVqAKl0EEwfZ_weePoLY68we6iiF, https://drive.google.com/open?id=19mOnDebF-hM1ASnpQrLZfj2zvQZFCeAI",https://drive.google.com/open?id=1B0FSJ7NWtwasJgpxXddncK3hl-Y_fF15,https://drive.google.com/open?id=1uOTPjoI768yj6gS4NuxFgajfBpgTK-vY,Libromancer - Punk,Dark Magician
9/29/2022 8:54:42,Layer 1 (Vanilla),idkjustputagoodname#9610,Ejeffers1239#9016,1,0,https://drive.google.com/open?id=1BG2xwT9QhuLGNXIxRoi1hUrUO3-xRzFn,https://drive.google.com/open?id=12E-RUHt6ZRZHRFq6tDL5GcCqywiHGrj4,https://drive.google.com/open?id=1uOC-D_Q72y3KhQ68SKN0kpkhK0bqZ8Ou,Runick Spright,Beetrooper
9/29/2022 10:36:41,Layer 1 (Vanilla),kata#1031,Ejeffers#9016,2,0,"https://drive.google.com/open?id=1yzdwhYNVFH96IFDa5G-6bsjYvtIbpjxS, https://drive.google.com/open?id=16qCXG8QSXz3zuQ1_1SW6mvvlcej9LUBb",https://drive.google.com/open?id=1GtwZk074BNomfyD4YBZpGFZDS9cQPQLK,https://drive.google.com/open?id=1PnNZsZqTWTCYS-Kz8ydRGDC4G8GinfQH,true draco nnadolche,pendulunn nnagician perfornnapal
9/29/2022 11:19:06,Layer 1 (Vanilla),kata#1031,DotVersion2#1312,2,1,"https://drive.google.com/open?id=1OXkojvk03HAf7jLz1_FZ8fenBMUAA0i9, https://drive.google.com/open?id=16BHuZaDlelx_VZhLRB18zIdW04ksPAM1, https://drive.google.com/open?id=1HxBoR1iixiDt7sfSa_FjR4KCe8e7Gqhz",https://drive.google.com/open?id=1X4BheeoLo_hqnoaAwk6ofd_gv077Saxb,https://drive.google.com/open?id=1kvDZkjThPGESnz3XotHf4LJKs8TznVIW,true draco + madolche,morphtronic
9/29/2022 11:46:53,Layer 1 (Vanilla),idkjustputagoodname#9610,Preistest_Dragon#5022,2,1,"https://drive.google.com/open?id=1fNHzgkLzZR6K6gxKGjEJtrap9_u-MuNV, https://drive.google.com/open?id=1kCLP7Z_DE_j7dnVnWFXvchVJqkDbaATF, https://drive.google.com/open?id=13inztmhqNYrXV0ly7kA3yiHfl59ltmYZ",https://drive.google.com/open?id=1KH3ntBlV2s4kbBhipYxQIn-iHaCXmWTo,https://drive.google.com/open?id=1b3i7Wsv97XFcV4Iiyn3LD2QCXOvLInJe,spright - mystrunes,Libromancer - Punk
9/29/2022 13:30:38,Layer 1 (Vanilla),Preistest_Dragon#5022,Atlas/Celeste#8465,2,0,"https://drive.google.com/open?id=1W0RwxMc4rYpDmJEvbqiQICxjaBkvLEQZ, https://drive.google.com/open?id=1zpFfl_loTwDi_SSjvJje_tSlKs-IwtJX",https://drive.google.com/open?id=1xBOqNTGrD6twdAIKzIdFLV7tBOYQUg1K,https://drive.google.com/open?id=1QtJjj70XBr7YFzlTgiBs5qqoHGeLLvxc,Libromancer Punk,Orcust striker
9/29/2022 13:48:06,Layer 1 (Vanilla),Megalith Phul#3133,Atlas/Celeste#8465,2,0,"https://drive.google.com/open?id=1Tleb5-YZM5fTGVmxVBuPIa_3j0Ouazx9, https://drive.google.com/open?id=1ylIfh_M-Z5lphBKf0dF5rlohBbZjOLnH",https://drive.google.com/open?id=1r1FXMG_Aa8KsclxhVZ_joG8RWIXbv0bG,https://drive.google.com/open?id=1OwQ1QCQ1ACbwHpJtdV7ZevpLTt7BV-cz,Megalith,Sky Striker Orcust
9/29/2022 13:50:30,Layer 1 (Vanilla),Preistest_Dragon#5022,Atlas/Celeste#8465,2,0,"https://drive.google.com/open?id=1KikeYBgsQcfFi7z4-MN7pYZjWyigY3aS, https://drive.google.com/open?id=1qHTaQ5EQj9U6rC3DHCaG9qYfoq1s_qGn",https://drive.google.com/open?id=134K_48lGnAAgJHkrBsUCwzrBn4iNAjRA,https://drive.google.com/open?id=1gcCsEM0aq-ZscHlwGrC4Tp20AmkczQ4g,(vanity's ruler) Libromancer,Sky Striker Orcust
9/29/2022 14:27:01,Layer 1 (Vanilla),Lord of Coffee#7741,Malleus#2670,2,1,,https://drive.google.com/open?id=17xPglFzLk2rxubbISpitGBOovAlpN4r9,https://drive.google.com/open?id=1f_B72P47xGgr-dsL1PZGid92LKeTVsRG,Mathmech,Labrynth
9/29/2022 14:29:07,Layer 1 (Vanilla),Ejeffers1239#9016,Preistest_Dragon#5022,2,1,"https://drive.google.com/open?id=1Cmzgz4TMA07XwDr5OMgml_8EnEEkJNpZ, https://drive.google.com/open?id=1ExKUL5ZBUeZRpziWauAGy9J_Jabayux3, https://drive.google.com/open?id=1T_WFW8DyJnmg0tSbGjXJDBWusyhpcswf",https://drive.google.com/open?id=1ST6i_TPTdbHMLsNcZcY29utKHDGrLXpd,https://drive.google.com/open?id=1mzeT1LBuJJwKOc8CQsKfsKzWNktS2_wH,Marincess,PUNK Libromancer
9/29/2022 15:23:27,Layer 1 (Vanilla),kata#1031,Preistest_Dragon#5022,2,1,"https://drive.google.com/open?id=1zE2C1_2K813fmDzhNLHgo79ik4nyLQdt, https://drive.google.com/open?id=1ZI33ezuTf4_NfvFJDo8YHHgi3-OTuDQ_, https://drive.google.com/open?id=1b0PQqVxVabLX99SnkstCObjx9y5mGIKL",https://drive.google.com/open?id=1G4DYysSzZbzwl8KOkE1k2NRSn6xghX1e,https://drive.google.com/open?id=1nqZO_vteaWIRZsHm33Oj65SKnVWceiqd,true draco + madolche,libromancer
9/29/2022 15:32:50,Layer 1 (Vanilla),idkjustputagoodname#9610,yubel#1310,2,0,,https://drive.google.com/open?id=1ioa0TAjLd8E91RibXA5Ao1PGOA4EPmZx,https://drive.google.com/open?id=12nDlLlh54_mThHx8crAYzOGWwwRvoRVZ,Runick Spright,Zefra
9/29/2022 16:38:27,Layer 1 (Vanilla),idkjustputagoodname#9610,kata#1031,2,1,"https://drive.google.com/open?id=1R49jVn16xNikqK7G6mYPxuFruuPqQFKZ, https://drive.google.com/open?id=1WzAMDjxZ5xscAWiK2QAmEqZC8_IPA5fC, https://drive.google.com/open?id=1xQDqkU-ebUo8muc41vJ8B8uG5ovJB-fY",https://drive.google.com/open?id=1rNsXCpVuwI3x8yrA6eyLxGYl9zqDDIyj,https://drive.google.com/open?id=1_P6T_VZKtm6_-FXUIDy8JfnwzooNn5da,Runick spright,Musket draco dpe
9/29/2022 16:55:41,Layer 1 (Vanilla),Isla#1154,Julius#3986,2,1,"https://drive.google.com/open?id=1jW8ns_rR0YR63f9wn2W0tk3P64OAmGEu, https://drive.google.com/open?id=1FUnLoAdJnyGn6yaO3pQWGIz7ZWTXgshX, https://drive.google.com/open?id=1ya85e4_JS_bxLm5v9U-3GUIvPuF_LBwK",https://drive.google.com/open?id=1gKdRK1o8EdggHs_vTX05P6dnE4vCfjO2,https://drive.google.com/open?id=1OHd28ALyw_8xEKk_X60NJt8_Wbo4CBMu,Utopia,Mathmech
9/29/2022 16:55:44,Layer 1 (Vanilla),Julius#3986,kata#1031,1,0,https://drive.google.com/open?id=1VIluWrZIvUEQaqkIU4hIvQLAY9kz8iaT,https://drive.google.com/open?id=1RwIKqJcwDv0YQV0AL00Cua5E5hpE3qO9,https://drive.google.com/open?id=1szJOTQRw1bZZDpU0IA_kbAEOm092TvjU,Mathmech,True Draco
